Beleggingscommissie Dow,H. Debrauwer
Accountant Campina,C. Harteveld
Adviserend Actuaris Shell,G. Veluwenkamp
Certificerend Actuaris Stap,M. Stok
Bestuur Notarieel,Rob Bakker
Bestuur Flexsecurity,R. van der Heijden
Bestuur Betonproduktenindustrie,L. Willigenburg
Bestuur Huisartsen,F. Wesseling-Dahmen
Bestuur Schoonmaak- en Glazenwassersbedrijf,W. van Campen
Bestuur Achmea Personeel,G. Huis in 't Veld
Beleggingscommissie Astellas,R. Dorscheidt
Beleggingscommissie Robeco,R. Boender
Beleggingscommissie Tandtechniek,R. van der Heijden
Beleggingscommissie PGGM,H. Hendriks
Beleggingscommissie Woningcorporaties,I. Laan
Beleggingscommissie Koopvaardij,R. Zijlman
Certificerend Actuaris TDV,R. Sagoenie
Adviserend Actuaris Chevron,R. den Hertog
Compliance officer Spoorwegpensioenfonds,W. Kievit
Accountant Cosun,J. van Kleef
Certificerend Actuaris YARA Nederland,C. Snoeks
Certificerend Actuaris Robeco,M. Pernot
Accountant ORTEC,C. Harteveld
Bestuur PGB,W. van Ettinger
Bestuur Campina,L. van der Wolf
Bestuur Centraal Beheer,L. Rodenburg
Bestuur BlackRock,R. Franquinet
Bestuur ERIKS,N. van den Bosch
Certificerend Actuaris Dow,A. Dongelmans
Accountant Russell,M. van Zeelst
Bestuur Russell,R. Schikhof
Bestuur Alcatel-Lucent,R. Ganzeboom
Bestuur Stap,E. Hammen
Bestuur AZL,M. Verheul
Compliance officer Buizerdlaan,M. Scholten
Accountant Beroepsvervoer over de Weg,H. van der Rijst
Certificerend Actuaris Abbott Nederland,F. Verschuren
Bestuur Zuivel en aanverwante industrie,L. Gevers
Bestuur Technische Groothandel Vroeg,J. Hartman
Bestuur Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,A. van der Horst
Bestuur PPG Industries Nederland,G. ter Huurne
Accountant Zorg en Welzijn,L. Oosterloo
Certificerend Actuaris Avery Dennison,M. Pernot
Bestuur KLM-Cabinepersoneel,I. Slikkerveer
Bestuur Achmea Personeel,G. Lodewijk
Bestuur Abbott Nederland,H. Brak
Bestuur Holland Casino,C. Lonsain
Bestuur Lanschot,M. Marchée
Bestuur Bavaria,R. Schellekens
Bestuur Sportfondsen,C. Filippini
Certificerend Actuaris ING Bank CDC fonds,C. Snoeks
Accountant Albemarle,A. Beijer
Bestuur Drankindustrie,A.S. Vink
Bestuur B&S,S. Eisma
Bestuur Brocacef,R. de Visser
Accountant Hewlett-Packard,F. Groenestein
Bestuur MSD,H. van Oostrom
Bestuur Rockwool,G. Raessens
Bestuur Transavia vliegers,M. van Duijn
Bestuur Zorgverzekeraars,J. Telling
Beleggingscommissie Architectenbureaus,H. van Oostrom
Compliance officer Gasunie,C. Bol
Accountant E-Way,N. Silverentand
Certificerend Actuaris Huisartsen,P. Heesterbeek
Bestuur Wolters Kluwer Nederland,A. Jager
Bestuur Buizerdlaan,C. Bulten
Bestuur Reisbranche,N. Altundal
Bestuur Samenwerking / Slagersbedrijf,J. Verkleij
Bestuur Lombard Odier,H. Roeten
Certificerend Actuaris TNO,C. Snoeks
Accountant UWV,H. Plomp
Accountant Citigroup Nederland,N. Silverentand
Bestuur Groothandel,A. Holthuis
Bestuur Detailhandel,W. den Dekker
Bestuur AFM,R. de Jong
Bestuur KPN,F. Spronk
Bestuur Meubelindustrie en Meubileringsbedrijven,R. Halkes
Bestuur SABIC,E. Rombouts
Beleggingscommissie Aon Groep Nederland,A. Holthuis
Beleggingscommissie Xerox,R. Halkes
Beleggingscommissie Sportfondsen,R. de Jong
Accountant British American Tobacco,M. Spierings
Certificerend Actuaris B&S,P. Heesterbeek
Adviserend Actuaris Samenwerking / Slagersbedrijf,M. van de Velde
Fiduciair Manager Telegraafpensioenfonds 1959,J. Streefland
Beleggingsadviseur OWASE P,M. Euverman
Compliance officer Ring Transavia cabinepersoneel,R. de Jong
Bestuur Ring Haskoning,M. de Mars
Bestuur IKEA,W. van Ettinger
Bestuur KLM Vliegend Personeel,W. van de Laar
Bestuur Drankindustrie,J. van Lith
Bestuur Unilever NL Forward,H. Faassen
Beleggingscommissie Ring Transavia cabinepersoneel,W. van Ettinger
Beleggingscommissie Campina,R. Lottermann
Beleggingscommissie Achmea Personeel,A. Parton
Beleggingscommissie Elsevier-Ondernemingen,J. Price
Beleggingscommissie Rabobankorganisatie,W. Rigler
Beleggingscommissie Technische Groothandel Vroeg,F. Nieuwland
Accountant NIBC,H. van der Rijst
Bestuur DSM Nederland,G. Burger
Bestuur Unilever NL Forward,R. Jongejan
Bestuur Coram,F. van Heuvelen
Bestuur Astellas,F. Huisman
Bestuur Douwe Egberts,W. Niewold
Bestuur Medewerkers Apotheken,P. Schimmel
Certificerend Actuaris IKEA,R.E.V.Meijer
Accountant IKEA,C. Harteveld
"Bestuur Schilders-, Afwerkings- en Glaszetbedrijf",R. van Leeuwen
Bestuur UWV,E. Tromp
Bestuur Brocacef,Simon Jan Boer
Accountant ARCADIS Nederland,O. Opzitter
Adviserend Actuaris Loodsen,C. Bos
Bestuur Apothekers,W. Poldervaart
Bestuur Timeos,A. Hoog
Bestuur Textielverzorging,F. van Meerkerk
"Bestuur Schilders-, Afwerkings- en Glaszetbedrijf",R. Lems
Bestuur Ring Transavia grondpersoneel,R. van Breemen
Certificerend Actuaris Pensura,J. Tuijp
Accountant Openbaar Vervoer,A. Reijns
Bestuur Coram,D. Mik
Bestuur YARA Nederland,F. van Bergenhenegouwen
Bestuur British American Tobacco,J. Kuenen
Bestuur Thales,B. Pol
Bestuur Kappersbedrijf,R. Rovers
Bestuur HAL,M. Swalef
Bestuur Levensmiddelen Groothandel,R. de Wit
Accountant Protector,W. Teeuwissen
Certificerend Actuaris Achmea IM,R. Kruijff
Compliance officer Allianz Nederland,M. Beijer-de Looze
Raad van toezicht Bakkersbedrijf BPF,H. Machielsen
Raad van toezicht SNS Reaal Groep,L. Scheepers
Raad van toezicht Recreatie (SPR),H. Kapteijn
"Raad van toezicht Schilders-, Afwerkings- en Glaszetbedrijf",W. Baljet
Raad van toezicht SABIC,J. Nijssen
Beleggingsadviseur Astellas,J. de Zwart
Beleggingsadviseur Waterbouw BPF,F. de Rek
Beleggingsadviseur Rabobankorganisatie,R. de Jonge
Verantwoordingsorgaan Flexsecurity,J. van Dijk
Verantwoordingsorgaan Legal & General,R. Hagendoorn
Verantwoordingsorgaan Buizerdlaan,M. Kmieciak-van den Heuvel
Verantwoordingsorgaan TrueBlue,R. Wijbrands
Verantwoordingsorgaan Lombard Odier,P.A.M. Van Zijp
Beleggingscommissie Telegraafpensioenfonds 1959,E. Grootendorst
Beleggingscommissie CRH,L. van de Kieft
Accountant Groothandel,C. Harteveld
Raad van toezicht Will Niemeijer,H. Hannen
Raad van toezicht Personeelspensioenfonds APF,K. Roozemond
Raad van toezicht SCA,A. van der Meer
Raad van toezicht Fysiotherapeuten,N. Loonen
Raad van toezicht Fysiotherapeuten,P. de Groot
Compliance officer Abbott Nederland,M. Kremer
Verantwoordingsorgaan Ring Transavia cabinepersoneel,P. Anepool
Verantwoordingsorgaan AFM,A. Bouma
Verantwoordingsorgaan Henkel,J. Moonen
Verantwoordingsorgaan GE Artesia Bank,J. Bijker
Verantwoordingsorgaan NN CDC fonds,M. Pover
Verantwoordingsorgaan Agrarische en Voedselvoorzieningshandel,N. van Leeuwen
Verantwoordingsorgaan OWASE P,H. Bolsenbroek
Verantwoordingsorgaan Sligro Food Group,R. Kok
Verantwoordingsorgaan Samenwerking / Slagersbedrijf,E. Bobeldijk
Raad van toezicht British American Tobacco,D. Duijzer
Raad van toezicht Meubelindustrie en Meubileringsbedrijven,A. Smolenaers
Raad van toezicht Coram,L. van der Heiden-Aantjens
Verantwoordingsorgaan SPF beheer,F. Bos
Verantwoordingsorgaan De Nationale,J. Quartel
Raad van toezicht Staples,A. Hoevenaars
Raad van toezicht Zorg en Welzijn,M. Donders
Raad van toezicht Dierenartsen,J.M.L. van Engelen
Raad van toezicht PGB,J. van der Zee
Raad van toezicht Heijmans,S. van der Lecq
Raad van toezicht Forbo,F. Covers
Raad van toezicht TOTAL,W. Zeverijn
Verantwoordingsorgaan Cindu International,E. de Ruijter
Verantwoordingsorgaan BMO,P. Timmer
Verantwoordingsorgaan ERIKS,B. Buitenkamp
Verantwoordingsorgaan AXA,N. Engel-de Groot
Verantwoordingsorgaan Sligro Food Group,U. Karakhalil
Verantwoordingsorgaan Ring Transavia grondpersoneel,J. Denissen
Verantwoordingsorgaan Molenaarspensioenfonds,M. de Kogel
Verantwoordingsorgaan Sagittarius,M. Santema
Verantwoordingsorgaan Chevron,C. van der Zwan
Raad van toezicht TOTAL,A. Gram
Raad van toezicht E-Way,P. de Groot
Raad van toezicht TrueBlue,E. Schols
Compliance officer Buizerdlaan,J. Mulder-van der Heijden
Raad van toezicht OWASE P,S. van der Lecq
Raad van toezicht E-Way,G. van de Kuilen
Raad van toezicht Honeywell,B. van de Belt
Verantwoordingsorgaan Ecolab,A. Kant
Verantwoordingsorgaan Roeiers in het Rotterdamse havengebied,P. Scheenstra
Verantwoordingsorgaan Sigarenindustrie en aanverwante Bedrijven,H. van Barneveld
Verantwoordingsorgaan SCA,F. Pouwel
Raad van toezicht Thales,A. Gram
Raad van toezicht Douwe Egberts,D. Smit
Raad van toezicht Kappersbedrijf,E. Voorhoeve
Verantwoordingsorgaan BP,M. van Veen
Verantwoordingsorgaan Staples,C. van den Heuvel
Verantwoordingsorgaan Huntsman Rozenburg,B. Reusken
Verantwoordingsorgaan Hagee,C. van der Velde
Compliance officer Personeelspensioenfonds APF,M. Elmas
Raad van toezicht Robeco AM,M. de Wijs
Raad van toezicht PostNL,L. van der Made
Raad van toezicht Apothekers,H. van Reeuwijk
Verantwoordingsorgaan Medische Specialisten,G. van Hooydonk
Verantwoordingsorgaan E-Way,M. Ockhuizen
Verantwoordingsorgaan FORD Nederland,H. van Elburg
Verantwoordingsorgaan Huisartsen,M. Molders
Verantwoordingsorgaan Bouwmaterialen,I. Saribas
Verantwoordingsorgaan Particuliere Beveiliging,T. Caland
Verantwoordingsorgaan Ring Haskoning,Y. Groen
Verantwoordingsorgaan Heineken,M. van der Veen
Compliance officer Rabobankorganisatie,M. Vente
"Verantwoordingsorgaan Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf",R. Schut
Verantwoordingsorgaan TNO,A. Nahon
Verantwoordingsorgaan Personeelspensioenfonds APF,W. van den Bergh
Verantwoordingsorgaan KPN,E. Laane
Verantwoordingsorgaan Unirobe Meeus groep,P. Karsten
Verantwoordingsorgaan Sportfondsen,W. Duivis
Compliance officer KLM Vliegend Personeel,E. Klijn
Verantwoordingsorgaan Blue Sky Group,F. Winkels
Verantwoordingsorgaan Kas Bank,W. Sleegers
Verantwoordingsorgaan Allianz Nederland,J. de Bruin
Compliance officer Staples,H. van der Linden-Verhulst
Verantwoordingsorgaan Fysiotherapeuten,F. Schepers
"Verantwoordingsorgaan Schilders-, Afwerkings- en Glaszetbedrijf",L. Meijer
Verantwoordingsorgaan Lanschot,D. de With
Verantwoordingsorgaan Sportfondsen,R. de Jonge
Verantwoordingsorgaan Textielverzorging,L. Hessels
Verantwoordingsorgaan Huysman,H. Muilerman
Verantwoordingsorgaan ABP,W. Blok
Verantwoordingsorgaan Medische Specialisten,C. Vreeken
Verantwoordingsorgaan Telegraafpensioenfonds 1959,G. Kamperman
Verantwoordingsorgaan Coram,A. Zonderop
Verantwoordingsorgaan UWV,S. van de Polder
Raad van toezicht Unilever NL Forward,P. van Eekelen
Raad van toezicht ING,E. Enschedé
Raad van toezicht Reisbranche,J. van de Poel
Beleggingsadviseur Medewerkers Apotheken,J. Beenen
Raad van toezicht NIBC,K. Bitter
Raad van toezicht ING Bank CDC fonds,E. Hagen
Raad van toezicht Progress Unilever,M. Hoekstra
Beleggingscommissie Volo,P. van Gameren
Compliance officer Schoenmakerij,A. Parisi
Visitatiecommissie Hagee,A. Vollenbroek
Visitatiecommissie VNU,R. de Greef
Visitatiecommissie Deutsche Bank Nederland,J. Nuyens
Compliance officer Lanschot,P. Elion
Risicocommissie Rockwool,Y. den Bakker
Risicocommissie Thales,B. Vroegh
Risicocommissie Blue Sky Group,M. Klomp
Visitatiecommissie IFF,N. de Jager
Visitatiecommissie Sportfondsen,J. Ruben
Visitatiecommissie Hoogovens,J. Vrieleman
Raad van toezicht Forbo,M. Bongers
Raad van toezicht Hewlett-Packard,P. Frentrop
Raad van toezicht Thales,M. Pluijmaekers-Pessers
Raad van toezicht VNU,P. Siegman
Raad van toezicht Samenwerking / Slagersbedrijf,M. Elema
Raad van toezicht OWASE P,R. van Leeuwen
Beleggingscommissie Holland Casino,P. Mannaert
Beleggingscommissie Abbott Nederland,A. van Hienen
Beleggingscommissie Astellas,P. van der Heijden
Raad van toezicht AXA,P. van Eekelen
Raad van toezicht Notarieel,B. Smith
Raad van toezicht Sagittarius,C. de Wuffel
Raad van toezicht DSM Nederland,E. Capitain
Raad van toezicht Zuivel en aanverwante industrie,R. Hommes
Raad van toezicht Volo,D. Nagtegaal
Raad van toezicht VNU,J. van Oostveen
Raad van toezicht Kunststof- en Rubberindustrie,R. Labadie
Raad van toezicht ORTEC,W. de Lange
Adviserend Actuaris KPN,S. Keijmel
"Visitatiecommissie Schoen-, Leder- en Lederwarenindustrie",B. Smith
Visitatiecommissie Medewerkers Apotheken,E. Bosman
Visitatiecommissie KLM Algemeen,L. Rutgers
Visitatiecommissie Metro,E. Capitain
Visitatiecommissie PepsiCo Nederland,J. Rietmulder
Visitatiecommissie Het Nederlandse Pensioenfonds,E. van Kalmthout
Raad van toezicht TNO,E. Snoeij
Raad van toezicht Thales,H. Pontier
Raad van toezicht Volo,C. Dert
Visitatiecommissie McCain,H. Debrauwer
Visitatiecommissie Citigroup Nederland,R. Kleynen
Visitatiecommissie Will Niemeijer,W. Beckers
Visitatiecommissie Invista,A. Hoevenaars
Visitatiecommissie AHOLD,J. Kapteijn
Visitatiecommissie Elsevier-Ondernemingen,J. Klopper
Intern toezicht Recreatie (SPR),L. le Blanc
Intern toezicht TOTAL,P. van Gameren
Intern toezicht Heijmans,C. van der Sluis
Visitatiecommissie Zorg en Welzijn,A. de Bekker
Visitatiecommissie Legal & General,A. van Hienen
Visitatiecommissie Holland Casino,A. Vollenbroek
Beleggingscommissie Huntsman Rozenburg,F. Ooms
Beleggingscommissie Bakkersbedrijf BPF,E. Meurs
Beleggingscommissie IFF,J. Dijkstra
Beleggingscommissie Waterbouw BPF,J. Mensonides
Beleggingscommissie Dierenartsen,B. Leffers
Raad van toezicht Houtverwerkende industrie,N. Beuken
Raad van toezicht Lloyd's Register Nederland,W. Boeschoten
Raad van toezicht Sligro Food Group,E. Capitain
Visitatiecommissie Sligro Food Group,P. Oyens
Visitatiecommissie Albemarle,L. Roodbol
Visitatiecommissie Consumentenbond,J. Steinhauser
Visitatiecommissie Getronics,H. Debrauwer
Visitatiecommissie Staples,A. van Hulst
Visitatiecommissie Tandartsen en Tandarts-Specialisten,J. Steinhauser
Visitatiecommissie IKEA,E. Ankum-Griffioen
Visitatiecommissie Reisbranche,D. Nagtegaal
Visitatiecommissie Meubelindustrie en Meubileringsbedrijven,R. van Stoltz
Visitatiecommissie NN,Jaco Groenewoud
Visitatiecommissie IFF,H. Strang
Visitatiecommissie General Electric Nederland,D. Wenting
Visitatiecommissie Douwe Egberts,N. de Jager
Visitatiecommissie Abbott Nederland,J. Vrieleman
Visitatiecommissie SCA,G. Euverman
Visitatiecommissie Kunststof- en Rubberindustrie,D. Wenting
Visitatiecommissie SNS Reaal Groep,H. de Lange
Visitatiecommissie Delta Lloyd,P. Altenburg
Visitatiecommissie Campina,R. van Leeuwen
Visitatiecommissie Sanoma Magazines Nederland,M. Meijer-Zaalberg
Visitatiecommissie Ecolab,J. Stokkel
Visitatiecommissie KCM,L. Roodbol
Visitatiecommissie Cate Koninklijke,P. Oyens
Visitatiecommissie Werk en (re)Integratie,J. Steinhauser
Visitatiecommissie Kunststof- en Rubberindustrie,H. Hanneman
Visitatiecommissie Deutsche Bank Nederland,N. de Jager
Visitatiecommissie Co-op,J. Ruben
Visitatiecommissie KCM,P. Oyens
Visitatiecommissie Openbaar Vervoer,C. Boekkooi
Visitatiecommissie Protector,D. Swagerman
Accountant BMO,N. Pul
Raad van toezicht Roba,J. Maassen
Raad van toezicht Sigarenindustrie en aanverwante Bedrijven,W. de Jong
Raad van toezicht Schoenmakerij,J. Kragt
Raad van toezicht Personeelspensioenfonds APF,G. van de Kuilen
Raad van toezicht Kunststof- en Rubberindustrie,D. Wenting
Raad van toezicht Agrarische en Voedselvoorzieningshandel,J. Verhulst
Bestuur Waterbouw BPF,C. Weeda-Hoogstad
Bestuur General Electric Nederland,J. Nijhuis
Bestuur Textielgoederen en Aanverwante Artikelen Groothandel,T. van Dijk
Bestuur Technische Groothandel Vroeg,P.P.C. Van Zijn
Visitatiecommissie PGB,L. Duynstee
Visitatiecommissie AFM,A. Vollenbroek
Visitatiecommissie Houtverwerkende industrie,G. Euverman
Visitatiecommissie Schoenmakerij,N. de Jager
Visitatiecommissie APF,H. Polee
Beleggingscommissie TKP,C. Ravara
Beleggingscommissie Provisum,S. te Kaath
Visitatiecommissie Blue Sky Group,G. Euverman
Visitatiecommissie Chemours Nederland,K. Vernooij
Visitatiecommissie Groothandel,N. de Jager
Visitatiecommissie Media PNO,H. Polee
"Visitatiecommissie Schilders-, Afwerkings- en Glaszetbedrijf",J. Nieuwenhuizen
Visitatiecommissie Provisum,J. Ruben
Visitatiecommissie Heijmans,J. Ruben
Visitatiecommissie BP,H. Polee
Visitatiecommissie Media PNO,N. de Jager
Raad van toezicht Co-op,E. Schols
Raad van toezicht Unisys Nederland,R. Sijsenaar
Raad van toezicht B&S,H. de Valck
Bestuur Openbaar Vervoer,J. Boumans
Bestuur Atos Origin,A. Westerlaken
Visitatiecommissie Bibliotheken openbare,H. Debrauwer
Visitatiecommissie VNU,A. van Coberen
Visitatiecommissie Schoonmaak- en Glazenwassersbedrijf,L. Roodbol
Raad van toezicht Deloitte,A. Eikenboom
Raad van toezicht Sagittarius,J. Hilbrands
Raad van toezicht DSM Nederland,A.C. Tromp
Raad van toezicht SC Johnson,J. Ruijgrok
Raad van toezicht Bibliotheken openbare,P. Siegman
Beleggingscommissie KCM,E. Huizing
Visitatiecommissie Equens,E. Capitain
Visitatiecommissie KLM-Cabinepersoneel,L. Duynstee
Beleggingscommissie Ballast Nedam,R. Beukhof
Beleggingscommissie Media PNO,H. Konijn
Accountant Progress Unilever,C. de Witt
Visitatiecommissie IKEA,D. Wenting
Visitatiecommissie IKEA,H. Strang
Visitatiecommissie Openbaar Vervoer,Jaco Groenewoud
Beleggingscommissie Consumentenbond,S. van de Kamp - vergeer
Beleggingscommissie Robeco,M. Zandbergen
Beleggingscommissie MN,E. Erenst
Beleggingscommissie Rijn- en Binnenvaart,S. van de Kamp-Vergeer
Beleggingscommissie Archimedes,M. Zandbergen
Beleggingscommissie AT&T Nederland,E. Erenst
Raad van toezicht Chemours Nederland,P. Dirks
Raad van toezicht Unirobe Meeus groep,F. Vossen
Raad van toezicht PepsiCo Nederland,E. Verhulp
Beleggingsadviseur AFM,H. Kapteijn
Visitatiecommissie Banden- en Wielenbranche,E. Schols
Visitatiecommissie Reisbranche,K. Smit
Visitatiecommissie Groothandel,R. van Leeuwen
Bestuur FORD Nederland,K. Wisse
Verantwoordingsorgaan Equens,M. van Beek
Verantwoordingsorgaan KCM,M. van Broekhoven
Verantwoordingsorgaan Cargill,P. Dijkstra
Verantwoordingsorgaan Nederlandsche Bank,B. Pelser
Raad van toezicht Schoonmaak- en Glazenwassersbedrijf,I. van Duijn
Raad van toezicht TKP,A.C. Tromp
Raad van toezicht Hewlett-Packard,H. van Essen
Raad van toezicht TNO,A. Gram
Raad van toezicht Molenaarspensioenfonds,B. de Ruigh
Pensioenbureau TOTAL,P. Braams
Bestuursbureau Kas Bank,R. Upperman
Bestuursbureau Wonen,H. Groot
Bestuursbureau Medewerkers Apotheken,C. Sas
Bestuursbureau Fresenius Nederland,J. Crum
Bestuursbureau Avery Dennison,A. de Wit
Bestuursbureau Vitol Anker,L. Kardux
Raad van toezicht TKP,A. Meijs
Raad van toezicht Koopvaardij,H. Schuijt
Raad van toezicht TOTAL,R. Beetsma
Pensioenbureau Flexsecurity,T. Krekel
Pensioenbureau Coram,C. Cortooms
Pensioenbureau Hunter Douglas,W. Overboom
Pensioenbureau Citigroup Nederland,M. Sarton
Pensioenbureau NN CDC fonds,H. Hubers
Pensioenbureau PepsiCo Nederland,F. Dooren
Pensioenbureau OWASE P,B. Lombarts
Pensioenbureau KLM Algemeen,J. Quik
Pensioenbureau Verloskundigen,J.D. Ruis
Pensioenbureau Allianz Nederland,M. Tjong Tjin Joe
Pensioenbureau KLM-Cabinepersoneel,H. Houwelingen
Pensioenbureau TBI,A. Pellis
Pensioenbureau FORD Nederland,M. Vos
Bestuursbureau ARCADIS Nederland,R. Kragten
Bestuursbureau Cap Gemini Nederland,M. Kaal
Raad van toezicht Sligro Food Group,T. Bottinga
"Raad van toezicht Schoen-, Leder- en Lederwarenindustrie",C. Spaans
Raad van toezicht Robeco,A. van Ombergen
Pensioenbureau SC Johnson,R. Kragten
Pensioenbureau MPD,M. Kaal
Bestuur Huisartsen,G. Santing
Visitatiecommissie Textielgoederen en Aanverwante Artikelen Groothandel,A. Heuzinkveld
Visitatiecommissie Coram,E. Uijen
Visitatiecommissie Technische Groothandel Vroeg,P. Molenaar
Bestuur BP,L. van Wieringen
Bestuur SCA,C. Vletter
Bestuur Vitol Anker,A. Akkerman
Bestuur Croda,S. Hoogterp
Bestuur Sportfondsen,K. Nauta
Bestuur KPN,K. Roozemond
Bestuur Deutsche Bank Nederland,F. van de Veen
Bestuur Lanschot,S. Eijgermans
Bestuur Chevron,W. Schapendonk
Bestuur Roeiers in het Rotterdamse havengebied,W. Noordman
Bestuur Bouwmaterialen,P. Verhoog
Bestuur Kas Bank,E. van den Bosch
Bestuur Cargill,G. Sirks
Bestuur UWV,A. Bolt
Bestuur HAL,F. Terpstra
Bestuur Sigarenindustrie en aanverwante Bedrijven,A. de Bekker
Pensioenbureau Fracties,R. Siebesma
Adviserend Actuaris Schoonmaak- en Glazenwassersbedrijf,L. Thissen
Accountant AZL,C. Leers
Adviserend Actuaris Grolsche bierbrouwerij,M. Klein
Raad van toezicht Meubelindustrie en Meubileringsbedrijven,G. Dijkstra
Raad van toezicht Pensura,A. Platenburg
